Longitude,Latitude
-105.112702,38.541241
-105.113225,38.389056
-105.123659,38.871582
-105.125354,38.868846
-105.130545,38.046598
-105.131791,38.792124
-105.170762,38.7644
-105.182164,37.607489
-105.213045,36.003506
-105.217713,36.011059
-105.230873,37.001953
-105.235525,36.064167
-105.246359,36.381569
-105.249092,39.353971
-105.2526,35.521631
-105.261298,39.640474
-105.27421,38.909819
-105.280239,39.998324
-105.280895,37.372398
-105.334504,40.186926
-105.337441,39.970922
-105.341845,40.576887
-105.356056,38.980093
-105.365579,39.317729
-105.410927,40.020865
-105.411247,36.599021
-105.4147,39.527006
-105.423352,37.080402
-105.42755,51.34576
-105.445286,58.37337
-105.447054,32.702394
-105.447845,36.70676
-105.464412,33.163497
-105.468489,36.368415
-105.484978,39.403287
-105.48611,37.591095
-105.488225,33.425903
-105.507415,39.258785
-105.512476,36.901617
-105.522287,36.381912
-105.531111,39.314232
-105.534612,36.192473
-105.571099,38.979921
-105.572786,40.338364
-105.580972,59.138198
-105.583223,40.80171
-105.638486,40.847071
-105.681515,55.546789
-105.688234,33.447189
-105.688498,33.231894
-105.718595,33.19622
-105.721977,33.192444
-105.72653,32.971859
-105.730702,33.258362
-105.7338,33.270979
-105.736332,35.580468
-105.758478,33.163691
-105.759339,39.414139
-105.763494,33.158112
-105.774566,33.158798
-105.783556,39.397413
-105.784921,33.153048
-105.804253,54.421826
-105.811755,39.643285
-105.827269,53.599548
-105.827993,39.411221
-105.852089,44.212761
-105.8527,40.665293
-105.898009,33.399843
-105.907187,40.536118
-105.911086,38.777415
-105.921955,52.689743
-105.923089,48.047837
-105.9678,36.653395
-106.009947,39.231319
-106.04289,31.839463
-106.076695,39.198532
-106.164235,39.114332
-106.171644,39.305992
-106.174356,39.415855
-106.184294,39.709568
-106.198923,38.835348
-106.200746,39.277153
-106.202637,31.698239
-106.203182,31.830139
-106.210382,39.225698
-106.229807,31.617794
-106.251885,52.812264
-106.255503,38.606215
-106.271087,39.03039
-106.284362,41.489182
-106.30333,39.808531
-106.308575,37.34519
-106.325,52.7845
-106.326318,39.805012
-106.370018,39.248657
-106.372615,37.104499
-106.379834,39.223402
-106.387798,39.235525
-106.409988,39.15784
-106.412306,39.198875
-106.415655,55.794572
-106.437423,39.088626
-106.45011,34.701862
-106.474486,37.265046
-106.486493,37.289743
-106.487512,40.746231
-106.488628,37.303391
-106.499348,37.371433
-106.502614,36.612282
-106.509113,31.937342
-106.516036,37.322273
-106.519048,37.230263
-106.544486,39.100589
-106.597725,40.430546
-106.616186,35.63732
-106.632955,39.657898
-106.646104,39.46523
-106.654127,38.625183
-106.655474,40.451344
-106.686618,40.338707
-106.704967,36.467743
-106.726742,52.72768
-106.73468,39.225054
-106.740293,57.358643
-106.750874,39.015005
-106.761401,47.995319
-106.766365,40.479748
-106.803037,40.334415
-106.812815,39.661181
-106.840208,52.396986
-106.843359,40.678253
-106.862421,45.012188
-106.87017,39.995084
-106.87165,37.021179
-106.874028,32.496389
-106.875803,35.992069
-106.881338,35.992402
-106.894081,36.767292
-106.91896,37.127352
-106.930136,39.647255
-106.961235,39.154243
-106.966253,39.650398
-106.979385,38.944473
-106.990979,36.961527
-106.994588,39.102659
-107.029886,38.146967
-107.030162,37.237988
-107.054762,36.949768
-107.06098,41.088395
-107.078727,41.140194
-107.090257,39.323008
-107.09669,39.956138
-107.10837,39.625304
-107.18194,59.323185
-107.191782,37.890129
-107.191964,37.889185
-107.220053,37.940598
-107.243965,36.646957
-107.2544,39.671159
-107.270827,44.103112
-107.303702,39.156475
-107.374913,36.685753
-107.452311,37.361656
-107.500967,37.338361
-107.524304,44.750919
-107.590971,54.244995
-107.598588,52.317243
-107.619184,39.892044
-107.701144,37.976217
-107.714393,37.684575
-107.724906,37.846903
-107.732503,38.85184
-107.757944,37.772026
-107.770759,37.599506
